Location,Area,Block,Phase,Sector
"Bani Gala, Islamabad",Bani Gala,,,
"New Blue Area, Islamabad",New Blue Area,,,
"Gulberg Greens - Block C, Gulberg Greens",Gulberg Greens,"Block C, Gulberg Greens",,
"The Centaurus, F-8",F-8,,,F-8
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"Gulberg Greens, Gulberg",Gulberg Greens,,,
"Bahria Enclave - Sector C1, Bahria Enclave",Bahria Enclave,,,
"B-17, Islamabad",,,,B-17
"The Centaurus, F-8",F-8,,,F-8
"Lignum Tower, DHA Defence Phase 2",Lignum Tower,,,
"Bahria Enclave - Sector C1, Bahria Enclave",Bahria Enclave,,,
"Diplomatic Enclave, Islamabad",Diplomatic Enclave,,,
"Eighteen, Kashmir Highway",Eighteen,,,
"B-17, Islamabad",,,,B-17
"MPCHS - Block B, MPCHS - Multi Gardens",MPCHS,"Block B, MPCHS",,
"MPCHS - Block C, MPCHS - Multi Gardens",MPCHS,"Block C, MPCHS",,
"Paradise Villa Apartments, D-17",D-17,,,D-17
"Faisal Town - F-18, Islamabad",Faisal Town,,,F-18
"Gulshan-e-Sehat 1 - Block A, Gulshan-e-Sehat 1",Gulshan-e-Sehat 1,"Block A, Gulshan-e-Sehat 1",,
"Gulshan-e-Sehat 1 - Block D, Gulshan-e-Sehat 1",Gulshan-e-Sehat 1,"Block D, Gulshan-e-Sehat 1",,
"PWD Housing Scheme, Islamabad",PWD Housing Scheme,,,
"Eighteen, Kashmir Highway",Eighteen,,,
"DHA Defence Phase 1, DHA Defence",DHA Defence Phase 1,,,
"DHA Defence Phase 1, DHA Defence",DHA Defence Phase 1,,,
"E-11, Islamabad",,,,E-11
"Top City 1 - Block D, Top City 1",Top City 1,"Block D, Top City 1",,
"F-17, Islamabad",,,,F-17
"GT Road, Islamabad",GT Road,,,
"F-7, Islamabad",,,,F-7
"F-6/2, F-6",F-6,,,F-6/2
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"Pakistan Town - Phase 2, Pakistan Town",Pakistan Town,,"Phase 2, Pakistan Town",
"DHA Phase 2 - Sector G, DHA Defence Phase 2",DHA Phase 2,,"Sector G, DHA Defence Phase 2",
"Soan Garden, Islamabad",Soan Garden,,,
"Soan Garden, Islamabad",Soan Garden,,,
"The Centaurus, F-8",F-8,,,F-8
"Luxus Mall and Residency, Gulberg Greens - Block B","Luxus Mall and Residency, Gulberg Greens",Block B,,
"I-10, Islamabad",,,,I-10
"I-10, Islamabad",,,,I-10
"I-10, Islamabad",,,,I-10
"B-17, Islamabad",,,,B-17
"I-14/1, I-14",I-14,,,I-14/1
"B-17, Islamabad",,,,B-17
"MPCHS - Block B, MPCHS - Multi Gardens",MPCHS,"Block B, MPCHS",,
"MPCHS - Block C1, MPCHS - Multi Gardens",MPCHS,"Block C1, MPCHS",,
"E-11/4, E-11",E-11,,,E-11/4
"E-11, Islamabad",,,,E-11
"I-10, Islamabad",,,,I-10
"I-10, Islamabad",,,,I-10
"British Homes Colony, I-13",I-13,,,I-13
"F-7, Islamabad",,,,F-7
"F-7, Islamabad",,,,F-7
"F-7, Islamabad",,,,F-7
"F-7/3, F-7",F-7,,,F-7/3
"Gulberg Residencia - Block L, Gulberg Residencia",Gulberg Residencia,"Block L, Gulberg Residencia",,
"Bahria Enclave, Bahria Town",Bahria Enclave,,,
"Faisal Hills - Executive Block, Faisal Hills",Faisal Hills,"Executive Block, Faisal Hills",,
"Faisal Town Phase 1 - Block A, Faisal Town Phase 1",Faisal Town Phase 1,"Block A, Faisal Town Phase 1",,
"Soan Garden - Block F, Soan Garden",Soan Garden,"Block F, Soan Garden",,
"G-11/4, G-11",G-11,,,G-11/4
"El Cielo, GT Road",El Cielo,,,
"Skypark One, Gulberg Greens",Skypark One,,,
"Zarkon Heights, G-15",G-15,,,G-15
"G-13/4, G-13",G-13,,,G-13/4
"G-13, Islamabad",,,,G-13
"G-14/4, G-14",G-14,,,G-14/4
"G-14, Islamabad",,,,G-14
"F-7, Islamabad",,,,F-7
"F-7, Islamabad",,,,F-7
"F-8, Islamabad",,,,F-8
"Park View - Block J, Park View City",Park View,"Block J, Park View City",,
"Capital Residencia, Margalla Hills-2",Capital Residencia,,,
"Faisal Town Phase 1 - Block C, Faisal Town Phase 1",Faisal Town Phase 1,"Block C, Faisal Town Phase 1",,
"Bahria Enclave - Sector F, Bahria Enclave",Bahria Enclave,,,
"F-8, Islamabad",,,,F-8
"F-8, Islamabad",,,,F-8
"F-8, Islamabad",,,,F-8
"F-8, Islamabad",,,,F-8
"F-10, Islamabad",,,,F-10
"MPCHS - Block F, MPCHS - Multi Gardens",MPCHS,"Block F, MPCHS",,
"MPCHS - Multi Gardens, B-17",MPCHS,,,B-17
"Gulberg Heights, Gulberg Greens",Gulberg Heights,,,
"G-13, Islamabad",,,,G-13
"E-16/3, E-16",E-16,,,E-16/3
"New Blue Area, Islamabad",New Blue Area,,,
"The Centaurus, F-8",F-8,,,F-8
"Bhara kahu, Islamabad",Bhara kahu,,,
"F-11, Islamabad",,,,F-11
"Gulberg Greens, Gulberg",Gulberg Greens,,,
"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F",DHA Phase 1,,"Defence Villas, DHA Phase 1",
"Bahria Enclave, Bahria Town",Bahria Enclave,,,
"Cube Apartments, Bahria Enclave",Cube Apartments,,,
"Bahria Enclave - Sector G, Bahria Enclave",Bahria Enclave,,,
"Bahria Enclave - Sector C2, Bahria Enclave",Bahria Enclave,,,
"Islamabad - Murree Expressway, Islamabad",,,,
"Bahria Enclave - Sector N, Bahria Enclave",Bahria Enclave,,,
"Gulberg Greens, Gulberg",Gulberg Greens,,,
"Gulberg Greens, Gulberg",Gulberg Greens,,,
"Gulberg Greens, Gulberg",Gulberg Greens,,,
"F-10/2, F-10",F-10,,,F-10/2
