Title,Price,Location,Beds,Baths,Area
Luxury House Is Available For Sale In Bani Gala Islamabad,4.5 Crore,"Bani Gala, Islamabad",6,6,10 Marla
Elan Square One Bed Apartment Is Available For Sale In New Blue Area,5 Crore,"New Blue Area, Islamabad",1,1,3.8 Marla
In Gulberg Greens - Block C Farm House Sized 4 Kanal For sale,9 Crore,"Gulberg Greens - Block C, Gulberg Greens",N/A,N/A,4 Kanal
Fully Furnished 2 Bed 2019 Sq Ft Luxury Apartment is Available For Sale,11 Crore,"The Centaurus, F-8",2,3,9 Marla
Signature Style 1 Kanal Double Unit House Available For Sale In DHA DEFENCE PHASE 2,11.9 Crore,"DHA Defence Phase 2, DHA Defence",6,7,1 Kanal
One (1) Bed Flat (Appartment) Available For Sale In Gulberg Green Islamabad Pakistan,60 Lakh,"Gulberg Greens, Gulberg",1,1,2.2 Marla
BAHRIA ENCLAVE SECTOR C-1 10 MARLA DESIGNER BRAND NEW HOUSE AVAILABLE FOR SALE AT PRIME LOCATION,5.75 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,6,10 Marla
2 Bedrooms Apartment For sale in Capital Square B-17 Islamabad,80 Lakh,"B-17, Islamabad",2,2,4.7 Marla
Furnished & Rented 2 Bed 2019 SFT Flat in The Centaurus For Sale,8.1 Crore,"The Centaurus, F-8",2,3,9 Marla
Two Bedrooms Apartment In Lignum Tower GT Road Islamabad,1.5 Crore,"Lignum Tower, DHA Defence Phase 2",2,2,6.3 Marla
Sector C1 Corner Idyllic House Available For Sale In Bahria Enclave Islamabad,4.8 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,5,10 Marla
Best Options For Flat Is Available For Sale In Diplomatic Enclave,4.5 Crore,"Diplomatic Enclave, Islamabad",2,2,5.3 Marla
"2 Bedrooms, Furnished & Brand New Flat In Pavillion One",2.8 Crore,"Eighteen, Kashmir Highway",2,2,5.5 Marla
7 Marla House For Sale,2.75 Crore,"B-17, Islamabad",4,5,8 Marla
Reserve A Centrally Located House In MPCHS - Block B,5.7 Crore,"MPCHS - Block B, MPCHS - Multi Gardens",6,6,14.2 Marla
Fresh Designer Kanal House For Sale,6.9 Crore,"MPCHS - Block C, MPCHS - Multi Gardens",6,6,1 Kanal
3 Bedrooms Apartment For Sale On Ground Floor In MVHS D17,90 Lakh,"Paradise Villa Apartments, D-17",3,3,6.7 Marla
F-18 Faisal Town Rawalpindi Short Corner Brand New House,3.8 Crore,"Faisal Town - F-18, Islamabad",5,5,8 Marla
E-18 HECHS Islamabad Brand New Nicely Built House,1.5 Crore,"Gulshan-e-Sehat 1 - Block A, Gulshan-e-Sehat 1",2,3,8 Marla
E-18 Gulshan-E-Sehat HECHS Islamabad 5 Marla Brand New House,1.5 Crore,"Gulshan-e-Sehat 1 - Block D, Gulshan-e-Sehat 1",5,5,5 Marla
My own house available for sale original pictures attached,4.25 Crore,"PWD Housing Scheme, Islamabad",9,7,10 Marla
"1 Kanal Ready To Move In Villa For Sale In Eighteen, A Championship Golf Course.",12 Crore,"Eighteen, Kashmir Highway",5,6,1 Kanal
