Title,Location,Beds,Baths,Area (Marla),Price (PKR),Price Per Marla
Luxury House Is Available For Sale In Bani Gala Islamabad,"Bani Gala, Islamabad",6.0,6.0,10.0,45000000.0,4500000.0
Elan Square One Bed Apartment Is Available For Sale In New Blue Area,"New Blue Area, Islamabad",1.0,1.0,3.8,50000000.0,13157894.736842105
In Gulberg Greens - Block C Farm House Sized 4 Kanal For sale,"Gulberg Greens - Block C, Gulberg Greens",,,80.0,90000000.0,1125000.0
Fully Furnished 2 Bed 2019 Sq Ft Luxury Apartment is Available For Sale,"The Centaurus, F-8",2.0,3.0,9.0,110000000.0,12222222.222222222
Signature Style 1 Kanal Double Unit House Available For Sale In DHA DEFENCE PHASE 2,"DHA Defence Phase 2, DHA Defence",6.0,7.0,20.0,119000000.0,5950000.0
One (1) Bed Flat (Appartment) Available For Sale In Gulberg Green Islamabad Pakistan,"Gulberg Greens, Gulberg",1.0,1.0,2.2,6000000.0,2727272.727272727
BAHRIA ENCLAVE SECTOR C-1 10 MARLA DESIGNER BRAND NEW HOUSE AVAILABLE FOR SALE AT PRIME LOCATION,"Bahria Enclave - Sector C1, Bahria Enclave",5.0,6.0,10.0,57500000.0,5750000.0
2 Bedrooms Apartment For sale in Capital Square B-17 Islamabad,"B-17, Islamabad",2.0,2.0,4.7,8000000.0,1702127.659574468
Furnished & Rented 2 Bed 2019 SFT Flat in The Centaurus For Sale,"The Centaurus, F-8",2.0,3.0,9.0,81000000.0,9000000.0
Two Bedrooms Apartment In Lignum Tower GT Road Islamabad,"Lignum Tower, DHA Defence Phase 2",2.0,2.0,6.3,15000000.0,2380952.380952381
Sector C1 Corner Idyllic House Available For Sale In Bahria Enclave Islamabad,"Bahria Enclave - Sector C1, Bahria Enclave",5.0,5.0,10.0,48000000.0,4800000.0
Best Options For Flat Is Available For Sale In Diplomatic Enclave,"Diplomatic Enclave, Islamabad",2.0,2.0,5.3,45000000.0,8490566.03773585
"2 Bedrooms, Furnished & Brand New Flat In Pavillion One","Eighteen, Kashmir Highway",2.0,2.0,5.5,28000000.0,5090909.090909091
7 Marla House For Sale,"B-17, Islamabad",4.0,5.0,8.0,27500000.0,3437500.0
Reserve A Centrally Located House In MPCHS - Block B,"MPCHS - Block B, MPCHS - Multi Gardens",6.0,6.0,14.2,57000000.0,4014084.507042254
Fresh Designer Kanal House For Sale,"MPCHS - Block C, MPCHS - Multi Gardens",6.0,6.0,20.0,69000000.0,3450000.0
3 Bedrooms Apartment For Sale On Ground Floor In MVHS D17,"Paradise Villa Apartments, D-17",3.0,3.0,6.7,9000000.0,1343283.5820895522
F-18 Faisal Town Rawalpindi Short Corner Brand New House,"Faisal Town - F-18, Islamabad",5.0,5.0,8.0,38000000.0,4750000.0
E-18 HECHS Islamabad Brand New Nicely Built House,"Gulshan-e-Sehat 1 - Block A, Gulshan-e-Sehat 1",2.0,3.0,8.0,15000000.0,1875000.0
E-18 Gulshan-E-Sehat HECHS Islamabad 5 Marla Brand New House,"Gulshan-e-Sehat 1 - Block D, Gulshan-e-Sehat 1",5.0,5.0,5.0,15000000.0,3000000.0
My own house available for sale original pictures attached,"PWD Housing Scheme, Islamabad",9.0,7.0,10.0,42500000.0,4250000.0
"1 Kanal Ready To Move In Villa For Sale In Eighteen, A Championship Golf Course.","Eighteen, Kashmir Highway",5.0,6.0,20.0,120000000.0,6000000.0
NICE LOCATION LUSH CONDITION KANAL HOUSE AVAIL FOR SALE,"DHA Defence Phase 1, DHA Defence",6.0,7.0,20.0,77500000.0,3875000.0
PRIME LOCATION ONE KANAL BRAND NEW HOUSE AVAIL FOR SALE,"DHA Defence Phase 1, DHA Defence",6.0,7.0,20.0,92500000.0,4625000.0
E 11 Furnished 4 Bed Marghala Face Apartment For Sale,"E-11, Islamabad",4.0,4.0,7.1,16000000.0,2253521.1267605633
10 Marla Brand New House For Sale In Top City-1 Islamabad,"Top City 1 - Block D, Top City 1",5.0,6.0,10.0,39000000.0,3900000.0
10 MARLA SINGLE STORY HOUSE FOR SALE F-17 ISLAMABAD ALL FACILITY AVAILABLE CDA PPROVED SECTOR,"F-17, Islamabad",3.0,3.0,10.0,23500000.0,2350000.0
Apartment On Flexible Payment Plan,"GT Road, Islamabad",2.0,2.0,5.3,11100000.000000002,2094339.6226415099
Beautifu House Available For Sale In F-7,"F-7, Islamabad",9.0,,32.0,420000000.0,13125000.0
Beautiful House Of A Prime Location Available For Sale In F6/3,"F-6/2, F-6",9.0,,40.0,800000000.0,20000000.0
Top Designer 1 Kanal 5 Bedroom Modern Villa For Sale,"DHA Defence Phase 2, DHA Defence",5.0,5.0,20.0,139500000.0,6975000.0
Beautiful Brand New Double Storey House For Sale,"Pakistan Town - Phase 2, Pakistan Town",4.0,5.0,5.0,23500000.0,4700000.0
DHA PHASE 2 Sector G INVESTOR RATE 1 KANAL HOUSE DOUBLE UNIT NEAR GIGA MALL,"DHA Phase 2 - Sector G, DHA Defence Phase 2",6.0,6.0,20.0,110000000.0,5500000.0
Prime Location 8 Marla House For Sale In The Perfect Location Of Soan Garden,"Soan Garden, Islamabad",4.0,4.0,8.0,30000000.0,3750000.0
Prime Location 7 Marla House For Sale In Soan Garden Soan Garden,"Soan Garden, Islamabad",4.0,4.0,7.0,29000000.0,4142857.1428571427
Ideally Located Flat Of 2019 Square Feet Is Available For Sale In Islamabad,"The Centaurus, F-8",2.0,2.0,9.0,100000000.0,11111111.111111112
Two Bed Apartment In Luxus Mall And Residency Is Available For Sale,"Luxus Mall and Residency, Gulberg Greens - Block B",2.0,2.0,4.5,18000000.0,4000000.0
